Time,1 nw-2-02
0,14
0.1,24
0.2,19
0.3,20
0.4,18
0.5,18
0.6,16
0.7,10
0.8,14
0.9,9
1,9
1.1,14
1.2,13
1.3,13
1.4,10
1.5,10
1.6,11
1.7,15
1.8,6
1.9,9
2,16
2.1,8
2.2,16
2.3,11
2.4,18
2.5,9
2.6,7
2.7,6
2.8,10
2.9,10
3,17
3.1,10
3.2,11
3.3,10
3.4,11
3.5,11
3.6,11
3.7,8
3.8,10
3.9,6
4,7
4.1,11
4.2,8
4.3,9
4.4,16
4.5,8
4.6,8
4.7,7
4.8,9
4.9,11
5,9
5.1,1
5.2,2
5.3,6
5.4,1
5.5,5
5.6,4
5.7,6
5.8,4
5.9,6
6,6
6.1,3
6.2,7
6.3,6
6.4,6
6.5,5
6.6,3
6.7,5
6.8,4
6.9,6
7,5
7.1,3
7.2,2
7.3,5
7.4,8
7.5,7
7.6,7
7.7,7
7.8,4
7.9,5
8,2
8.1,2
8.2,3
8.3,6
8.4,6
8.5,5
8.6,5
8.7,2
8.8,3
8.9,5
9,4
9.1,2
9.2,5
9.3,7
9.4,6
9.5,7
9.6,3
9.7,6
9.8,2
9.9,3
